id,title,runtime,rating
631842,Knock at the Cabin,100,6.253
667216,Infinity Pool,118,6.06
980078,Winnie the Pooh: Blood and Honey,84,4.998
866413,You People,117,5.638
768362,Missing,111,7.415
877703,Teen Wolf: The Movie,140,7.493
646389,Plane,107,6.907
739405,Operation Fortune: Ruse de Guerre,113,6.5
937278,A Man Called Otto,126,7.758
758009,Shotgun Wedding,101,6.26
536554,M3GAN,102,7.049
995133,"The Boy, the Mole, the Fox and the Horse",35,8.217
777245,Women Talking,104,6.855
800815,The Pale Blue Eye,128,6.814
615777,Babylon,189,7.371
76600,Avatar: The Way of Water,192,7.609
814757,Empire of Light,115,6.624
785084,The Whale,117,7.8
315162,Puss in Boots: The Last Wish,103,8.21
715931,Emancipation,132,7.754
899112,Violent Night,111,7.241
829280,Enola Holmes 2,129,7.314
744594,White Noise,136,5.566
668482,Roald Dahl's Matilda the Musical,117,6.79
821881,The Swimmers,134,7.438
774752,The Guardians of the Galaxy Holiday Special,45,7.101
877269,Strange World,102,6.25
661374,Glass Onion: A Knives Out Mystery,140,7.038
653851,Devotion,139,7.081
791177,Bones and All,131,7.025
668461,Slumberland,117,7.284
338958,Disenchanted,118,6.7
837881,She Said,129,7.209
593643,The Menu,107,7.171
457232,Lamborghini: The Man Behind the Legend,97,6.4
1013860,R.I.P.D. 2: Rise of the Damned,102,6.301
804095,The Fabelmans,151,7.6
833097,Falling for Christmas,95,6.234
806368,The Son,123,6.713
632856,Spirited,127,6.869
555604,Guillermo del Toro's Pinocchio,117,8.041
505642,Black Panther: Wakanda Forever,162,7.0
1022256,Selena Gomez: My Mind & Me,95,8.637
823766,The Wonder,108,6.607
979924,On the Line,104,6.08
595586,Causeway,96,6.451
676547,Prey for the Devil,93,6.882
965150,Aftersun,101,7.675
744114,My Policeman,113,7.625
674324,The Banshees of Inisherin,114,7.455
779782,The School for Good and Evil,149,7.044
541134,The Good Nurse,121,6.874
436270,Black Adam,125,6.832
616820,Halloween Ends,111,6.067
830784,"Lyle, Lyle, Crocodile",106,6.971
663712,Terrifier 2,138,6.7
799546,Luckiest Girl Alive,113,6.536
614939,Bros,115,6.656
723419,Mr. Harrigan's Phone,105,6.399
338947,Hellraiser,121,6.2
664469,Amsterdam,134,6.061
642885,Hocus Pocus 2,104,7.171
894205,Werewolf by Night,55,6.977
882598,Smile,115,6.67
817758,TÁR,158,7.088
597922,The Greatest Beer Run Ever,127,7.532
429473,Lou,107,6.512
619730,Don't Worry Darling,123,6.777
497828,Triangle of Sadness,147,7.023
949423,Pearl,102,7.242
814800,Goodnight Mommy,91,6.257
724495,The Woman King,135,7.636
301502,Blonde,167,5.928
717728,Jeepers Creepers: Reborn,88,5.35
762968,Do Revenge,118,6.396
766475,See How They Run,99,6.344
928344,Weird: The Al Yankovic Story,108,6.707
913290,Barbarian,102,6.843
800939,Ticket to Paradise,104,6.43
551271,Medieval,126,6.888
1015606,Obi-Wan Kenobi: A Jedi's Return,60,6.797
532639,Pinocchio,105,6.303
862551,Me Time,105,5.863
629176,Samaritan,102,6.678
830788,The Invitation,105,6.015
744276,After Ever Happy,95,6.791
556694,Three Thousand Years of Longing,108,6.886
852448,I Came By,110,6.269
976720,Vesper,112,6.328
805327,Look Both Ways,110,6.873
862965,Emily the Criminal,97,6.7
755566,Day Shift,113,6.757
985939,Fall,107,7.12
760741,Beast,92,6.544
585511,Luck,105,7.745
520023,Bodies Bodies Bodies,94,6.174
718930,Bullet Train,126,7.422
766507,Prey,100,7.674
762975,Purple Hearts,122,8.1
760161,Orphan: First Kill,99,6.615
539681,DC League of Super-Pets,105,7.181
762504,Nope,130,6.828
698948,Thirteen Lives,147,7.86
682507,Where the Crawdads Sing,126,7.54
725201,The Gray Man,129,6.924
616037,Thor: Love and Thunder,119,6.4
820912,Persuasion,108,6.076
438148,Minions: The Rise of Gru,87,7.283
869626,Marcel the Shell with Shoes On,90,7.7
560057,The Sea Beast,115,7.325
614934,Elvis,159,7.478
615469,Spiderhead,107,5.789
759175,The Princess,94,6.809
758330,"Good Luck to You, Leo Grande",97,7.0
756999,The Black Phone,103,7.548
718789,Lightyear,105,6.895
807356,Watcher,96,6.474
705861,Hustle,117,7.717
507086,Jurassic World Dominion,147,6.631
831946,Interceptor,98,6.066
819876,Crimes of the Future,107,6.035
361743,Top Gun: Maverick,131,8.164
780609,Men,100,6.092
420821,Chip 'n Dale: Rescue Rangers,99,6.997
934761,A Perfect Pairing,101,6.844
961484,Last Seen Alive,95,6.4
532710,Firestarter,94,5.483
810171,The Valet,124,7.494
800937,Senior Year,114,5.924
453395,Doctor Strange in the Multiverse of Madness,126,7.2
818397,Memory,114,6.746
820446,Downton Abbey: A New Era,124,7.209
648579,The Unbearable Weight of Massive Talent,107,6.8
838484,Choose or Die,85,5.259
809140,Father Stu,124,7.2
739993,Metal Lords,97,6.887
294793,All the Old Knives,101,6.0
950445,Return to Space,128,6.543
639933,The Northman,137,7.036
338953,Fantastic Beasts: The Secrets of Dumbledore,142,6.6
661231,Operation Mincemeat,128,6.5
675353,Sonic the Hedgehog 2,123,7.4
526896,Morbius,105,5.9
545611,Everything Everywhere All at Once,140,7.7
752623,The Lost City,112,6.474
760104,X,106,6.736
629542,The Bad Guys,100,7.537
619979,Deep Water,116,5.816
763285,Ambulance,136,6.637
836225,The Exorcism of God,98,7.1
696806,The Adam Project,104,7.006
628900,The Contractor,103,6.356
508947,Turning Red,100,7.328
840882,The Weekend Away,90,6.0
787752,Fresh,114,6.97
414906,The Batman,177,7.659
799876,The Outfit,105,7.082
833425,No Exit,96,6.856
632727,Texas Chainsaw Massacre,83,5.209
626735,Dog,101,7.305
818750,The In Between,116,7.333
836009,Against the Ice,101,6.8
823625,Blacklight,104,6.166
800510,Kimi,89,6.2
335787,Uncharted,116,6.884
615904,Marry Me,112,6.622
505026,Death on the Nile,127,6.423
923632,The Tinder Swindler,114,6.974
406759,Moonfall,131,6.3
656663,Jackass Forever,96,6.807
585083,Hotel Transylvania: Transformania,92,7.049
817648,Home Team,95,6.6
774825,The Ice Age Adventures of Buck Wild,82,6.586
698508,Redeeming Love,134,7.8
245842,The King's Daughter,94,7.04
790142,The Royal Treatment,96,6.7
926899,The House,97,7.024
760926,Gold,97,6.189
646385,Scream,114,6.689
522016,The 355,122,6.0
899082,Harry Potter 20th Anniversary: Return to Hogwarts,103,7.305
